"Jahr";"Examensstufe";"Fachrichtung";"Geschlecht";"Hochschule";Abschlüsse der universitären Hochschulen
"2020";"Master";"Theologie übergreifend/übrige";"Mann";"SG";0
"2020";"Master";"Theologie übergreifend/übrige";"Mann";"UZH";0
"2020";"Master";"Theologie übergreifend/übrige";"Mann";"USI";0
"2020";"Master";"Theologie übergreifend/übrige";"Mann";"Andere UI";0
"2020";"Master";"Theologie übergreifend/übrige";"Mann";"EPFL";0
"2020";"Master";"Theologie übergreifend/übrige";"Mann";"ETHZ";0
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"BS";0
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"BE";1
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"FR";0
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"GE";2
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"LS";4
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"LU";0
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"NE";0
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"SG";0
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"UZH";3
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"USI";0
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"Andere UI";0
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"EPFL";0
"2020";"Master";"Theologie übergreifend/übrige";"Frau";"ETHZ";0
"2020";"Master";"Linguistik";"Mann";"BS";4
"2020";"Master";"Linguistik";"Mann";"BE";0
"2020";"Master";"Linguistik";"Mann";"FR";0
"2020";"Master";"Linguistik";"Mann";"GE";0
"2020";"Master";"Linguistik";"Mann";"LS";0
"2020";"Master";"Linguistik";"Mann";"LU";0
"2020";"Master";"Linguistik";"Mann";"NE";2
"2020";"Master";"Linguistik";"Mann";"SG";0
"2020";"Master";"Linguistik";"Mann";"UZH";3
"2020";"Master";"Linguistik";"Mann";"USI";0
"2020";"Master";"Linguistik";"Mann";"Andere UI";0
"2020";"Master";"Linguistik";"Mann";"EPFL";0
"2020";"Master";"Linguistik";"Mann";"ETHZ";0
"2020";"Master";"Linguistik";"Frau";"BS";9
